epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.983584,3.34132,3.5105,2.66586,0,0,0,0,5.4871,3.41342,5.06093,2e-05,2e-05,2e-05
2,1.4805,3.44456,3.61385,2.82263,0,0,0,0,5.59286,3.40442,5.33093,5.9406e-05,5.9406e-05,5.9406e-05
3,1.96655,3.33661,3.56343,2.78964,0,0,0,0,5.66854,3.39623,5.53874,9.802e-05,9.802e-05,9.802e-05
4,2.52734,3.30956,3.49863,2.79752,0,0,0,0,5.68749,3.38968,5.60822,0.000135842,0.000135842,0.000135842
5,3.05958,3.38474,3.58225,2.72922,0,0,0,0,5.37053,3.69977,4.79325,0.000172872,0.000172872,0.000172872
6,3.74317,2.80799,3.59991,2.43185,0,0,0,0,2.73795,3.90677,2.85247,0.00020911,0.00020911,0.00020911
7,4.44871,2.05266,3.41991,1.87216,0.00987,0.875,0.01246,0.00524,1.68081,3.58538,2.02099,0.000244556,0.000244556,0.000244556
8,5.1168,1.53292,3.20206,1.47422,0.01022,1,0.04931,0.02076,2.16371,3.24824,1.70395,0.00027921,0.00027921,0.00027921
9,5.70993,1.34196,2.98843,1.28182,0.01227,1,0.05986,0.02477,1.78315,3.27609,1.59865,0.000313072,0.000313072,0.000313072
10,6.33464,1.25044,2.85817,1.23323,0.01408,1,0.0737,0.03695,1.24106,3.28164,1.37062,0.000346142,0.000346142,0.000346142
11,7.05512,1.09483,2.68682,1.18859,0.01587,1,0.09707,0.0597,0.96646,3.11287,1.10933,0.00037842,0.00037842,0.00037842
12,7.64279,1.12517,2.53665,1.13592,0.01559,1,0.10757,0.08449,0.84178,2.94912,0.93742,0.000409906,0.000409906,0.000409906
13,8.24101,1.01778,2.41142,1.11201,0.01559,1,0.10474,0.08404,0.8114,2.92455,0.92244,0.0004406,0.0004406,0.0004406
